Info;Product;ID;Date;Sucre;TAP;AT;pH;AMal;Tartaric;N_ass;N_Amin;N_NH3;K;IPT;Anth;D;Heure;GluconicAcid;Glycerol;Volatile Acidity;Botrytis;PG DK;PA;AF;AL;ApH1;ApH3.2;RPT;EA;MP;;;;;;;;;;;;;;;;;;;
;Moûts;820808;05/08/2025;206.7;12.3;6.19;3.32;4.29;7.03;-41.80;119.2;35.5;2.94;11.1;-22.81;1.0942;09:18:33;-0.3;-0.1;-0.00;    13; -15;   -1;    5;0.0;   327;   239;17.21;27.0;44.5;;;;;;;;;;;;;;;;;;;
;Moûts;803308;05/08/2025;153.2;9.1;8.82;3.09;6.72;7.88;34.73;118.2;90.0;2.79;5.9;-2.72;1.0710;09:19:06;-0.2;-0.3;-0.02;     3;  11;   -3;   -1;0.0;   147;   174;14.14;-18.7;50.7;;;;;;;;;;;;;;;;;;;
;Moûts;3006412;05/08/2025;217.8;12.9;6.67;3.29;4.44;7.35;-17.00;129.3;54.2;2.86;12.7;-2.69;1.0984;09:19:38;-0.3;-0.0;-0.00;    13; -21;   -1;    5;0.0;   299;   221;21.41;25.9;58.7;;;;;;;;;;;;;;;;;;;
;Moûts;656004;05/08/2025;188.6;11.2;7.78;3.21;5.92;7.26;-14.54;106.7;56.6;2.78;9.2;5.89;1.0862;09:20:11;-0.1;-0.3;0.00;    11;   2;   -2;    2;0.0;   306;   239;16.51;22.0;42.2;;;;;;;;;;;;;;;;;;;
;Moûts;802608;05/08/2025;201.6;12.0;6.25;3.23;4.13;6.95;39.55;159.9;88.3;2.47;9.0;-3.66;1.0926;09:20:43;-0.5;-0.1;-0.03;    12; -18;   -2;    3;0.0;   302;   261;17.28;13.6;39.7;;;;;;;;;;;;;;;;;;;
;Moûts;802414;05/08/2025;218.0;13.0;5.26;3.34;2.80;7.31;-32.67;148.1;48.8;2.79;13.2;1.90;1.1008;09:21:15;-0.3;-0.1;0.01;    16; -29;   -1;    7;0.0;   316;   257;20.75;18.6;50.4;;;;;;;;;;;;;;;;;;;
;Moûts;802403;05/08/2025;198.6;11.8;6.67;3.23;4.56;7.29;-18.61;126.8;52.8;2.76;8.6;-7.53;1.0917;09:21:48;-0.2;-0.2;-0.01;    12; -17;   -1;    4;0.0;   221;   217;17.09;1.5;49.1;;;;;;;;;;;;;;;;;;;
;Moûts;802419;05/08/2025;221.8;13.2;5.71;3.26;3.29;7.09;-32.71;134.1;58.6;2.54;11.4;3.37;1.1013;09:22:21;-0.5;-0.1;0.01;    15; -23;   -2;    6;0.0;   335;   282;21.51;15.8;47.6;;;;;;;;;;;;;;;;;;;
;Moûts;802604;05/08/2025;207.2;12.3;6.66;3.21;4.29;7.38;-14.48;132.8;60.8;2.68;10.6;-3.44;1.0952;09:22:54;-0.3;-0.1;-0.00;    12; -22;   -1;    4;0.0;   297;   240;20.02;19.1;52.0;;;;;;;;;;;;;;;;;;;
;Moûts;840713;05/08/2025;223.3;13.3;5.99;3.23;3.11;7.80;-52.63;121.9;45.7;2.63;14.6;7.43;1.1030;09:23:26;-0.4;-0.0;0.01;    17; -20;   -1;    6;0.0;   292;   214;23.91;26.7;64.2;;;;;;;;;;;;;;;;;;;
;Moûts;840703;05/08/2025;220.2;13.1;6.44;3.25;3.54;8.11;-28.92;140.4;51.2;2.82;12.6;7.91;1.1016;09:23:59;-0.2;-0.1;0.01;    14; -27;   -2;    6;0.0;   317;   258;22.55;18.6;54.2;;;;;;;;;;;;;;;;;;;
